selling_price,year,seller_type,km_driven,fuel_type,transmission_type,mileage,engine,max_power,seats,Company
400000,2015,0,36000,0,0,18.9,1197.0,82.0,5.0,Hyundai
560000,2019,1,35000,1,0,25.4,1186.0,73.97,5.0,Hyundai
725000,2016,0,49625,0,0,17.8,1497.0,117.3,5.0,Honda
600000,2014,1,35000,1,0,23.4,1248.0,74.0,5.0,Maruti
550000,2013,1,95000,1,0,12.05,2179.0,120.0,8.0,Mahindra
585000,2017,0,36000,1,0,25.83,1498.0,99.0,5.0,Ford
411000,2019,1,50000,0,0,21.79,998.0,67.05,5.0,Maruti
450000,2015,1,26500,0,0,20.85,1197.0,83.14,5.0,Maruti
1290000,2015,0,80000,0,1,13.7,1997.0,153.86,5.0,Honda
455000,2015,0,46000,0,0,16.47,1198.0,74.0,5.0,Volkswagen
710000,2019,1,9000,0,0,20.7,1197.0,81.86,5.0,Hyundai
450000,2016,1,70000,1,0,18.49,1493.0,100.0,7.0,Mahindra
465000,2015,0,33000,0,0,17.71,1197.0,78.9,5.0,Toyota
770000,2016,0,53000,0,0,16.8,1497.0,116.3,5.0,Honda
320000,2015,1,50000,1,0,19.09,1405.0,69.01,5.0,Tata
325000,2015,1,50000,1,0,19.09,1405.0,69.01,5.0,Tata
2900000,2018,1,11387,1,1,10.91,3198.0,197.0,7.0,Ford
720000,2018,1,50000,1,0,25.8,1498.0,98.6,5.0,Honda
375000,2016,0,52000,1,0,25.32,1198.0,77.0,5.0,Mahindra
145000,2010,1,60000,0,0,14.49,1399.0,92.7,5.0,Chevrolet
400000,2015,1,35000,0,0,19.44,1198.0,67.0,7.0,others
600000,2015,1,48000,1,0,19.87,1461.0,83.8,5.0,Renault
600000,2018,1,18000,0,0,18.7,1199.0,88.7,5.0,Honda
270000,2012,1,57413,3,0,14.4,998.0,61.7,5.0,Maruti
500000,2015,1,30000,0,0,18.6,1197.0,81.83,5.0,Hyundai
650000,2015,0,55000,1,0,23.9,1582.0,126.2,5.0,Hyundai
380000,2015,1,120000,0,0,18.2,1199.0,82.4,5.0,Chevrolet
728000,2012,1,165000,1,0,13.5,2477.0,175.56,7.0,others
660000,2018,1,10000,0,1,21.21,1197.0,81.8,5.0,Maruti
180000,2010,1,120000,1,0,18.0,1248.0,75.0,5.0,Tata
2089999,2016,0,68000,1,1,22.69,1995.0,190.0,5.0,BMW
250000,2015,0,55000,1,0,25.44,936.0,56.3,5.0,Chevrolet
1275000,2020,0,8000,0,0,16.8,1497.0,113.4,5.0,others
455000,2012,0,80000,0,0,14.53,1798.0,138.1,5.0,Toyota
495000,2015,0,65000,1,0,28.4,1248.0,74.0,5.0,Maruti
220000,2010,1,47000,0,0,21.1,1197.0,85.8,5.0,Maruti
800000,2018,1,185000,1,0,25.1,1248.0,88.5,5.0,Maruti
1295000,2014,0,68000,1,1,13.01,2199.0,194.3,7.0,Hyundai
475000,2016,1,25000,0,0,18.9,1197.0,82.0,5.0,Hyundai
380000,2014,1,280000,1,0,15.3,2956.0,83.83,7.0,Tata
900000,2018,1,7791,1,0,25.1,1248.0,88.5,5.0,Maruti
530000,2015,1,70000,0,0,20.73,1373.0,91.1,5.0,Maruti
530000,2016,1,9500,0,0,23.84,1199.0,84.0,5.0,Tata
650000,2015,1,9100,0,0,17.01,1591.0,121.3,5.0,Hyundai
